horsepower,curb-weight,engine-size,highway-mpg,wheel-base,length,price
111.0,2548,130,27,88.6,0.8111484863046613,13495.0
154.0,2823,152,26,94.5,0.8226814031715521,16500.0
102.0,2337,109,30,99.8,0.8486304661220567,13950.0
115.0,2824,136,22,99.4,0.8486304661220567,17450.0
110.0,2507,136,25,99.8,0.8519942335415667,15250.0
110.0,2844,136,25,105.8,0.9259971167707832,17710.0
110.0,2954,136,25,105.8,0.9259971167707832,18920.0
140.0,3086,131,20,105.8,0.9259971167707832,23875.0
101.0,2395,108,29,101.2,0.8495915425276309,16430.0
121.0,2710,164,28,101.2,0.8495915425276309,20970.0
121.0,2765,164,28,101.2,0.8495915425276309,21105.0
121.0,3055,164,25,103.5,0.9082172032676598,24565.0
182.0,3230,209,22,103.5,0.9082172032676598,30760.0
182.0,3380,209,22,103.5,0.9312830370014415,41315.0
182.0,3505,209,20,110.0,0.9466602594906296,36880.0
48.0,1488,61,53,88.4,0.6780394041326285,5151.0
70.0,1874,90,43,94.5,0.7491590581451226,6295.0
70.0,1909,90,43,94.5,0.7630946660259491,6575.0
68.0,1876,90,41,93.7,0.7558865929841423,5572.0
68.0,1876,90,38,93.7,0.7558865929841423,6377.0
102.0,2128,98,30,93.7,0.7558865929841423,7957.0
68.0,1967,90,38,93.7,0.7558865929841423,6229.0
68.0,1989,90,38,93.7,0.7558865929841423,6692.0
102.0,2191,98,30,93.7,0.7558865929841423,8558.0
88.0,2535,122,30,103.3,0.8390197020663143,8921.0
145.0,2811,156,24,95.9,0.8322921672272945,12964.0
58.0,1713,92,54,86.6,0.6948582412301778,6479.0
76.0,1819,92,38,86.6,0.6948582412301778,6855.0
60.0,1837,79,42,93.7,0.7208073041806824,5399.0
76.0,1940,92,34,93.7,0.7208073041806824,6529.0
76.0,1956,92,34,93.7,0.7208073041806824,7129.0
76.0,2010,92,34,96.5,0.7851994233541567,7295.0
76.0,2024,92,34,96.5,0.7549255165785679,7295.0
86.0,2236,110,33,96.5,0.8049014896684287,7895.0
86.0,2289,110,33,96.5,0.8049014896684287,9095.0
86.0,2304,110,33,96.5,0.8428640076886112,8845.0
86.0,2372,110,33,96.5,0.8428640076886112,10295.0
101.0,2465,110,28,96.5,0.8428640076886112,12945.0
100.0,2293,110,31,96.5,0.8125901009130225,10345.0
78.0,2337,111,29,94.3,0.8202787121576165,6785.0
90.0,2734,119,29,96.0,0.8294089380105718,11048.0
176.0,4066,258,19,113.0,0.9591542527630946,32250.0
262.0,3950,326,17,102.0,0.921191734742912,36000.0
68.0,1890,91,31,93.1,0.7645362806343105,5195.0
68.0,1900,91,38,93.1,0.7645362806343105,6095.0
68.0,1905,91,38,93.1,0.7645362806343105,6795.0
68.0,1945,91,38,93.1,0.8015377222489188,6695.0
68.0,1950,91,38,93.1,0.8015377222489188,7395.0
101.0,2380,70,23,95.3,0.8121095627102355,10945.0
101.0,2385,70,23,95.3,0.8121095627102355,13645.0
135.0,2500,80,23,95.3,0.8121095627102355,15645.0
84.0,2385,122,32,98.8,0.8543969245555022,8845.0
84.0,2410,122,32,98.8,0.8543969245555022,8495.0
64.0,2443,122,42,98.8,0.8543969245555022,10795.0
84.0,2425,122,32,98.8,0.8543969245555022,11245.0
120.0,2670,140,27,104.9,0.8409418548774628,18280.0
72.0,2700,134,39,104.9,0.8409418548774628,18344.0
123.0,3515,183,25,110.0,0.9173474291206152,25552.0
123.0,3750,183,25,110.0,0.9173474291206152,28248.0
123.0,3495,183,25,106.7,0.9010091302258528,28176.0
123.0,3770,183,25,115.6,0.9735703988467084,31600.0
155.0,3740,234,18,115.6,0.9735703988467084,34184.0
155.0,3685,234,18,96.6,0.8664103796251803,35056.0
184.0,3900,308,16,120.9,1.0,40960.0
184.0,3715,304,16,112.0,0.957232099951946,45400.0
175.0,2910,140,24,102.7,0.8572801537722249,16503.0
68.0,1918,92,41,93.7,0.7558865929841423,5389.0
68.0,1944,92,38,93.7,0.7558865929841423,6189.0
68.0,2004,92,38,93.7,0.7558865929841423,6669.0
102.0,2145,98,30,93.0,0.7558865929841423,7689.0
116.0,2370,110,30,96.3,0.8313310908217203,9959.0
88.0,2328,122,32,96.3,0.8313310908217203,8499.0
145.0,2833,156,24,95.9,0.8322921672272945,12629.0
145.0,2921,156,24,95.9,0.8322921672272945,14869.0
145.0,2926,156,24,95.9,0.8322921672272945,14489.0
88.0,2365,122,32,96.3,0.8284478616049976,6989.0
88.0,2405,122,32,96.3,0.8284478616049976,8189.0
116.0,2403,110,30,96.3,0.8284478616049976,9279.0
69.0,1889,97,37,94.5,0.794329649207112,5499.0
55.0,2017,103,50,94.5,0.794329649207112,7099.0
69.0,1918,97,37,94.5,0.794329649207112,6649.0
69.0,1938,97,37,94.5,0.794329649207112,6849.0
69.0,2024,97,37,94.5,0.8178760211436809,7349.0
69.0,1951,97,37,94.5,0.794329649207112,7299.0
69.0,2028,97,37,94.5,0.7957712638154734,7799.0
69.0,1971,97,37,94.5,0.794329649207112,7499.0
69.0,2037,97,37,94.5,0.8178760211436809,7999.0
69.0,2008,97,37,95.1,0.7803940413262855,8249.0
97.0,2324,120,34,97.2,0.8332532436328689,8949.0
97.0,2302,120,34,97.2,0.8332532436328689,9549.0
152.0,3095,181,22,100.4,0.8731379144641999,13499.0
152.0,3296,181,22,100.4,0.8870735223450265,14399.0
152.0,3060,181,25,100.4,0.8870735223450265,13499.0
160.0,3071,181,25,91.3,0.8202787121576165,17199.0
200.0,3139,181,23,91.3,0.8202787121576165,19699.0
160.0,3139,181,25,99.2,0.8577606919750121,18399.0
97.0,3020,120,24,107.9,0.897164824603556,11900.0
95.0,3197,152,33,107.9,0.897164824603556,13200.0
97.0,3230,120,24,114.2,0.9557904853435848,12440.0
95.0,3430,152,25,114.2,0.9557904853435848,13860.0
95.0,3075,120,24,107.9,0.897164824603556,15580.0
95.0,3252,152,33,107.9,0.897164824603556,16900.0
95.0,3285,120,24,114.2,0.9557904853435848,16695.0
95.0,3485,152,25,114.2,0.9557904853435848,17075.0
97.0,3075,120,24,107.9,0.897164824603556,16630.0
142.0,3130,134,24,108.0,0.897164824603556,18150.0
68.0,1918,90,41,93.7,0.7558865929841423,5572.0
68.0,1989,90,38,93.7,0.8039404132628545,6692.0
